experiment,fold,seed,group,snr_db,accuracy_pct_mean,accuracy_pct_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,n_repeats
404,d16_cfg21,3407,config_2_2_mix,10.0,40.7969075230449,0.27575434122794185,0.38272862224063414,0.003247945279174235,0.3409744337664455,0.0037662983915312965,3
404,d16_cfg21,3407,config_2_2_mix,5.0,38.03151947665774,0.1833010408257195,0.3432412334865143,0.0022965632915738165,0.2910426971963548,0.0027162987821728987,3
404,d16_cfg21,3407,config_2_2_mix,0.0,35.56348498364556,0.08410428560053908,0.3010248225422621,0.001267968583118759,0.23566802482049753,0.001582930740410638,3
404,d16_cfg21,4096,fold_test,clean,92.29406554472985,0.0,0.9140012870519942,0.0,0.9248807930935322,0.0,1
404,d16_cfg21,4096,fold_test,10.0,92.61883672866844,0.041754164817623646,0.9178166973417158,0.0004894004860494225,0.9281088745468143,0.00041458989552838304,3
404,d16_cfg21,4096,fold_test,5.0,92.2350162385592,0.041754164817623646,0.9134158497191182,0.0004163954500757186,0.9243291722735564,0.00039032815045027903,3
404,d16_cfg21,4096,fold_test,0.0,92.70741068792442,0.11047113630864616,0.9165168029899146,0.001555722584198891,0.9281641500922791,0.0011919756641870253,3
404,d16_cfg21,4096,config_2_1_mix,clean,94.06952965235173,0.0,0.9406766622680072,0.0,0.9407519159921831,0.0,1
404,d16_cfg21,4096,config_2_1_mix,10.0,94.2285844126335,0.06426782832870848,0.9422707819060373,0.0006440697032122774,0.9423374710004991,0.0006406495383800518,3
404,d16_cfg21,4096,config_2_1_mix,5.0,93.75142013178822,0.17003669105994185,0.9374924679813,0.001701264699937291,0.9375758421283771,0.001698401100922975,3
404,d16_cfg21,4096,config_2_1_mix,0.0,93.04703476482617,0.1472560940333494,0.9302386497496377,0.001500354075261176,0.9305260069500925,0.0014796857802552024,3
404,d16_cfg21,4096,config_2_2_mix,clean,98.21587867975022,0.0,0.9801701019621163,0.0,0.9822708253797775,0.0,1
404,d16_cfg21,4096,config_2_2_mix,10.0,98.09693725840025,0.11125951194689106,0.97875805511813,0.0012466878735161646,0.981050759101273,0.001109892037025904,3
404,d16_cfg21,4096,config_2_2_mix,5.0,97.26434730895035,0.1516211571095112,0.9691119651145942,0.0017287631089875192,0.9726057798705122,0.0015258493018157125,3
404,d16_cfg21,4096,config_2_2_mix,0.0,96.104668450788,0.11125951194689232,0.9554252356385144,0.001359937986925398,0.960720435631206,0.0011625531340880443,3
404,d17_cfg21,2026,fold_test,clean,92.25978647686833,0.0,0.9136952751631651,0.0,0.9247433642027001,0.0,1
404,d17_cfg21,2026,fold_test,10.0,91.87425860023723,0.11096255595414743,0.9088669000803433,0.0012775241515322045,0.9208241785658723,0.0010919767352202954,3
404,d17_cfg21,2026,fold_test,5.0,82.97746144721233,0.40008118514923,0.7931705952626679,0.005858701325603256,0.8278486004061438,0.004485766708037462,3
404,d17_cfg21,2026,fold_test,0.0,62.781731909845796,0.041939903984968614,0.39163929618977383,0.0012061009704573747,0.542721016882731,0.0008047377086561484,3
404,d17_cfg21,2026,config_2_1_mix,clean,93.93319700068167,0.0,0.9393206917914252,0.0,0.93937990242223,0.0,1
404,d17_cfg21,2026,config_2_1_mix,10.0,93.27425585094296,0.11586047520092572,0.9327056109357327,0.0011615523813220115,0.9328183962078506,0.0011561224397948653,3
404,d17_cfg21,2026,config_2_1_mix,5.0,79.52738014087707,0.22493739915045097,0.7897685102816993,0.0024661069427420307,0.7922032716628465,0.0024038205872269043,3
404,d17_cfg21,2026,config_2_1_mix,0.0,48.80708929788685,0.0,0.3426466402822453,0.0,0.364776417866514,0.0,3
404,d17_cfg21,2026,config_2_2_mix,clean,94.82604817127564,0.0,0.9427073420041592,0.0,0.9486741826652594,0.0,1
404,d17_cfg21,2026,config_2_2_mix,10.0,93.81504608980077,0.3284377346769941,0.9320374840357077,0.003495686361224882,0.9388557047363243,0.003202456074095507,3
404,d17_cfg21,2026,config_2_2_mix,5.0,88.31400535236396,0.19270712751733618,0.8752033671250511,0.0021523062129468968,0.8857311946321258,0.0019121756513142312,3
404,d17_cfg21,2026,config_2_2_mix,0.0,66.69640202200418,0.08410428560053908,0.4449147113402576,0.002212713883544046,0.5623582349623911,0.0015446162062555102,3
